,Agency,Create Time,Area Id,Beat,Priority,Incident Type Id,Incident Type Description,Event Number,Closed Time,Location 1
0,OP,2014-01-01T00:00:00,1.0,02X,2,415GS,415 GUNSHOTS,LOP140101000001,2014-01-01T03:22:08,"{'human_address': '{""address"":""LINDEN ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
1,OP,2014-01-01T00:00:00,2.0,26Y,2,415GS,415 GUNSHOTS,LOP140101000002,2014-01-01T02:56:31,"{'human_address': '{""address"":""AV&amp;INTERNATIONAL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
2,OP,2014-01-01T00:00:00,2.0,30Y,2,415GS,415 GUNSHOTS,LOP140101000004,2014-01-01T00:49:53,"{'human_address': '{""address"":""AV&amp;MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
3,OP,2014-01-01T00:00:00,2.0,30Y,2,415GS,415 GUNSHOTS,LOP140101000005,2014-01-01T02:51:11,"{'human_address': '{""address"":""MACARTHUR BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
4,OP,2014-01-01T00:01:04,2.0,35X,2,CODE7,SUBJECT ARMED WITH W,LOP140101000010,2014-01-01T05:33:22,"{'human_address': '{""address"":""AV&amp;DOWLING ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
5,OP,2014-01-01T00:01:08,2.0,32X,2,415GS,415 GUNSHOTS,LOP140101000006,2014-01-01T03:53:57,"{'human_address': '{""address"":""AV&amp;INTERNATIONAL BLVD"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
6,OP,2014-01-01T00:01:23,2.0,31Z,2,415GS,415 GUNSHOTS,LOP140101000007,2014-01-01T00:01:32,"{'human_address': '{""address"":""AV&amp;PIPPIN ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
7,OP,2014-01-01T00:01:31,2.0,23X,2,911H,911 HANG-UP,LOP140101000008,2014-01-01T08:23:08,"{'human_address': '{""address"":""E 16TH ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
8,OP,2014-01-01T00:01:40,1.0,02Y,2,415GS,415 GUNSHOTS,LOP140101000009,2014-01-01T03:30:10,"{'human_address': '{""address"":""ST&amp;WILLOW ST"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
9,OP,2014-01-01T00:02:10,2.0,35X,2,415GS,415 GUNSHOTS,LOP140101000011,2014-01-01T10:35:45,"{'human_address': '{""address"":""86TH AV"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}"
